"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"H2,H1";"MountingHole_2.7mm_M2.5";2;"MountingHole";;;
2;"J5";"PinSocket_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
3;"U9";"SON95P300X300X100-7N-D";1;"LD39200PU33R";;;
4;"C28,C27,C14,C13,C17,C23,C22,C20,C19,C16,C15";"C_0402_1005Metric";11;"10u/6.3V/X5R";;;
5;"U5";"USBLC62P6";1;"USBLC6-2P6";;;
6;"R25,R24";"R_0402_1005Metric";2;"100k/1%/0.063W";;;
7;"R14,R12,R16,R15,R7,R6,R5,R4,R3,R2,R1,R11,R10,R9,R8";"R_0402_1005Metric";15;"10k/5%/0.063W";;;
8;"R13";"R_0402_1005Metric";1;"0R";;;
9;"J2";"GCT_USB4105GFA120";1;"USB4105GFA120";;;
10;"F1";"Fuse_0603_1608Metric";1;"0686F2000-01";;;
11;"U6";"SOT95P280X110-5N";1;"STC4054GR";;;
12;"R17,R20";"R_0402_1005Metric";2;"2k2/5%/0.063W";;;
13;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"Conn_01x02_Male";;;
14;"U8";"SOT95P275X135-6N";1;"S-8261AAXMD-G2XT2U";;;
15;"Q1";"PMDPB30XNAX";1;"PMDPB30XNAX";;;
16;"R23";"R_0402_1005Metric";1;"470/5%/0.063W";;;
17;"C24,C25,C10,C9,C8,C7,C6,C5,C4,C3,C12,C11,C26";"C_0402_1005Metric";13;"100n/16V/X5R";;;
18;"U7";"SON95P300X300X80-7N";1;"LMR62421XSD_NOPB";;;
19;"R22,R21,R19";"R_0402_1005Metric";3;"10k/1%/0.063W";;;
20;"R18";"R_0402_1005Metric";1;"30k/1%/0.063W";;;
21;"L1";"L_1210_3225Metric";1;"CBC3225T470MR";;;
22;"D2";"D_SOD-323";1;"BZX384B3V3-E3-08";;;
23;"D1";"D_SOD-123";1;"PMEG4010CEGWX";;;
24;"C21";"C_0402_1005Metric";1;"10n/16V/X5R";;;
25;"C18";"C_0402_1005Metric";1;"510p/10V/C0G";;;
26;"J1";"PinHeader_2x04_P2.54mm_Vertical";1;"PMS3003";;;
27;"U2";"BME688";1;"BME688";;;
28;"Y1";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"830106545501";;;
29;"C2,C1";"C_0402_1005Metric";2;"8p/16V/C0G";;;
30;"J4";"PinHeader_2x04_P2.54mm_Vertical";1;"Waveshare 12955";;;
31;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32L083CZTx";;;
32;"U4";"SON127P800X600X80-9N-D";1;"W25N512GVEIG";;;
33;"U3";"SOIC127P600X175-8N";1;"MB85RS512TPNF-G-JNERE1";;;
